seqName,SPS,time,iter,enf_mixte,vrac_mixte,helice_mixte,struct_mixte,enf_propre,struct_propre,helice_propre,openGap,extendGap
BB11008,0.0,20.778242349624634,4,0.2,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11009,0.34709193245778613,10.3856520652771,4,0.2,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11010,0.11842617841838722,54.76169180870056,4,0.2,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11002,0.15570545250140527,14.01026964187622,5,0.3,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11003,0.36008064516129035,48.20523166656494,5,0.3,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11004,0.2808657156910969,38.047210454940796,5,0.3,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11008,0.0,20.617820978164673,5,0.3,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11009,0.34709193245778613,10.434788703918457,5,0.3,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11010,0.11842617841838722,54.15707063674927,5,0.3,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11002,0.18524774774774774,14.563714504241943,6,3.7,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11003,0.4064516129032258,48.11301326751709,6,3.7,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11004,0.27594687653713723,39.24539232254028,6,3.7,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11008,0.0,20.880576133728027,6,3.7,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11009,0.3007518796992481,9.63162112236023,6,3.7,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11010,0.18776782236073236,54.502984285354614,6,3.7,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11002,0.1532394366197183,14.348167896270752,7,1.9,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11003,0.3903225806451613,50.21755933761597,7,1.9,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11004,0.3703885882931628,42.31711935997009,7,1.9,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11008,0.15578947368421053,19.549002170562744,7,1.9,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11009,0.3921200750469043,10.390640497207642,7,1.9,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11010,0.18504090377873003,54.6202347278595,7,1.9,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11002,0.15748031496062992,14.24844741821289,8,2.4,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11003,0.41854838709677417,48.30906057357788,8,2.4,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11004,0.4318740777176586,39.16019582748413,8,2.4,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11008,0.15157894736842106,19.229126691818237,8,2.4,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11009,0.2593984962406015,9.648692607879639,8,2.4,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11010,0.1963381379041683,54.125980615615845,8,2.4,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11002,0.17247191011235954,13.941108703613281,9,0.8,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11003,0.233682514101531,48.26135587692261,9,0.8,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11004,0.2016724053123463,38.01916027069092,9,0.8,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11008,0.0,20.4754900932312,9,0.8,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11009,0.37523452157598497,10.31340765953064,9,0.8,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11010,0.1382937280872614,53.88634538650513,9,0.8,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11002,0.14502529510961215,13.8979971408844,10,0.5,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11003,0.3342741935483871,50.02102875709534,10,0.5,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11004,0.26512543039842595,38.43627119064331,10,0.5,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11008,0.0,21.02192759513855,10,0.5,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11009,0.34709193245778613,10.665339708328247,10,0.5,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11010,0.11920529801324503,54.51403880119324,10,0.5,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11002,0.1580427446569179,14.291991472244263,11,1.4,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11003,0.3858870967741935,48.97828817367554,11,1.4,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11004,0.3703885882931628,39.64345598220825,11,1.4,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11008,0.056842105263157895,20.7815158367157,11,1.4,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11009,0.3921200750469043,10.619885921478271,11,1.4,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11010,0.1823139851967277,54.18012976646423,11,1.4,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11002,0.15748031496062992,14.095494747161865,12,2.4,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11003,0.41854838709677417,50.78909873962402,12,2.4,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11004,0.4318740777176586,39.63641548156738,12,2.4,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11008,0.15157894736842106,20.13055157661438,12,2.4,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11009,0.2593984962406015,10.703498840332031,12,2.4,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11010,0.1963381379041683,58.2525691986084,12,2.4,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11002,0.156056338028169,16.785651445388794,13,2.2,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11003,0.3883064516129032,51.08489751815796,13,2.2,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
