seqName,SPS,time,iter,struct_mixte,extendGap,helice_propre,openGap,enf_mixte,helice_mixte,struct_propre,vrac_mixte,enf_propre
BB11002,0.1,12.143901109695435,0,0.0,2.9,0.0,14.3,0.0,0.0,0.0,0.0,0.0
BB11010,0.08998831320607713,51.863203287124634,0,0.0,2.9,0.0,14.3,0.0,0.0,0.0,0.0,0.0
BB11004,0.40658800393313665,42.114195108413696,0,0.0,2.9,0.0,14.3,0.0,0.0,0.0,0.0,0.0
BB11009,0.34709193245778613,10.204280376434326,0,0.0,2.9,0.0,14.3,0.0,0.0,0.0,0.0,0.0
BB11003,0.39919354838709675,46.030029296875,0,0.0,2.9,0.0,14.3,0.0,0.0,0.0,0.0,0.0
BB11008,0.04842105263157895,19.273946046829224,0,0.0,2.9,0.0,14.3,0.0,0.0,0.0,0.0,0.0
