seqName,SPS,time,iter,enf_mixte,vrac_mixte,helice_mixte,struct_mixte,enf_propre,struct_propre,helice_propre,openGap,extendGap
BB11002,0.21704991587212563,12.326781749725342,0,0.0,2.1,2.7,0.9,0.0,0.0,4.0,14.3,2.9
BB11003,0.4217741935483871,48.95018792152405,0,0.0,2.1,2.7,0.9,0.0,0.0,4.0,14.3,2.9
BB11004,0.5206489675516224,40.38141918182373,0,0.0,2.1,2.7,0.9,0.0,0.0,4.0,14.3,2.9
BB11008,0.07473684210526316,21.30467391014099,0,0.0,2.1,2.7,0.9,0.0,0.0,4.0,14.3,2.9
BB11009,0.3621013133208255,11.046410322189331,0,0.0,2.1,2.7,0.9,0.0,0.0,4.0,14.3,2.9
BB11010,0.20140241527074407,55.74527096748352,0,0.0,2.1,2.7,0.9,0.0,0.0,4.0,14.3,2.9
BB11002,0.2866779089376054,16.79470157623291,1,0.0,2.7,3.4,2.8,0.0,0.0,4.0,14.3,2.9
BB11003,0.4613215149073328,52.310874938964844,1,0.0,2.7,3.4,2.8,0.0,0.0,4.0,14.3,2.9
BB11004,0.5452310717797444,40.05557823181152,1,0.0,2.7,3.4,2.8,0.0,0.0,4.0,14.3,2.9
BB11008,0.08526315789473685,19.67685079574585,1,0.0,2.7,3.4,2.8,0.0,0.0,4.0,14.3,2.9
BB11009,0.11654135338345864,9.9714994430542,1,0.0,2.7,3.4,2.8,0.0,0.0,4.0,14.3,2.9
BB11010,0.3283989092325672,55.537736654281616,1,0.0,2.7,3.4,2.8,0.0,0.0,4.0,14.3,2.9
BB11002,0.2327150084317032,14.720184326171875,2,0.0,3.0,4.6,2.4,0.0,0.0,4.0,14.3,2.9
BB11003,0.4427880741337631,48.87501311302185,2,0.0,3.0,4.6,2.4,0.0,0.0,4.0,14.3,2.9
BB11004,0.6420845624385447,40.17684626579285,2,0.0,3.0,4.6,2.4,0.0,0.0,4.0,14.3,2.9
BB11008,0.08315789473684211,19.7064471244812,2,0.0,3.0,4.6,2.4,0.0,0.0,4.0,14.3,2.9
BB11009,0.11654135338345864,10.017649412155151,2,0.0,3.0,4.6,2.4,0.0,0.0,4.0,14.3,2.9
BB11010,0.37982080249318273,54.66438889503479,2,0.0,3.0,4.6,2.4,0.0,0.0,4.0,14.3,2.9
BB11002,0.3658810325476992,13.347530603408813,3,0.0,3.0,4.2,1.1,0.0,0.0,4.0,14.3,2.9
BB11003,0.44802578565672846,48.7576584815979,3,0.0,3.0,4.2,1.1,0.0,0.0,4.0,14.3,2.9
BB11004,0.5599803343166175,42.59232521057129,3,0.0,3.0,4.2,1.1,0.0,0.0,4.0,14.3,2.9
BB11008,0.08,19.87785267829895,3,0.0,3.0,4.2,1.1,0.0,0.0,4.0,14.3,2.9
BB11009,0.09022556390977443,10.38063907623291,3,0.0,3.0,4.2,1.1,0.0,0.0,4.0,14.3,2.9
BB11010,0.30736268017140633,56.6005642414093,3,0.0,3.0,4.2,1.1,0.0,0.0,4.0,14.3,2.9
BB11002,0.1759415401911186,14.186726093292236,4,0.0,2.4,3.7,0.5,0.0,0.0,4.0,14.3,2.9
BB11003,0.36502820306204675,52.55685782432556,4,0.0,2.4,3.7,0.5,0.0,0.0,4.0,14.3,2.9
BB11004,0.4970501474926254,41.258753061294556,4,0.0,2.4,3.7,0.5,0.0,0.0,4.0,14.3,2.9
BB11008,0.056842105263157895,20.426925659179688,4,0.0,2.4,3.7,0.5,0.0,0.0,4.0,14.3,2.9
BB11009,0.3545966228893058,10.884954929351807,4,0.0,2.4,3.7,0.5,0.0,0.0,4.0,14.3,2.9
