seqName,SPS,time,iter,struct_propre,extendGap,helice_mixte,openGap,enf_propre,enf_mixte,helice_propre,struct_mixte,vrac_mixte
BB11001,0.9337474120082816,1.4147298336029053,0,0.0,2.0,4.0,19.0,0.0,0.0,4.0,1.0,2.0
BB11001,0.9337474120082816,1.4268090724945068,1,0.0,2.0,4.0,19.0,0.0,0.0,4.0,1.0,2.0
BB11001,0.9337474120082816,1.4249849319458008,2,0.0,2.0,4.0,19.0,0.0,0.0,4.0,1.0,2.0
BB11001,0.9337474120082816,1.4515855312347412,3,0.0,2.0,4.0,19.0,0.0,0.0,4.0,1.0,2.0
BB11001,0.9337474120082816,1.4314544200897217,4,0.0,2.0,4.0,19.0,0.0,0.0,4.0,1.0,2.0
