seqName,SPS,time,iter,helice_mixte,vrac_mixte,enf_mixte,enf_propre,struct_propre,openGap,extendGap,helice_propre,struct_mixte
BB11008,0.0,24.05644392967224,12,4.0,2.0,0.0,1.3,0.0,15.6,2.0,4.0,0.0
BB11009,0.31894934333958724,11.200056076049805,13,4.0,2.0,0.0,1.4,0.0,15.6,2.0,4.0,0.0
BB11002,0.039910061832490164,13.707497596740723,13,4.0,2.0,0.0,1.4,0.0,15.6,2.0,4.0,0.0
BB11010,0.03544994156603039,57.82527279853821,13,4.0,2.0,0.0,1.4,0.0,15.6,2.0,4.0,0.0
BB11001,0.9213250517598344,1.7261171340942383,13,4.0,2.0,0.0,1.4,0.0,15.6,2.0,4.0,0.0
BB11004,0.4033448106246926,41.574542760849,13,4.0,2.0,0.0,1.4,0.0,15.6,2.0,4.0,0.0
BB11003,0.28588709677419355,50.9898841381073,13,4.0,2.0,0.0,1.4,0.0,15.6,2.0,4.0,0.0
BB11008,0.0,24.14883303642273,13,4.0,2.0,0.0,1.4,0.0,15.6,2.0,4.0,0.0
BB11009,0.31894934333958724,11.198096752166748,14,4.0,2.0,0.0,0.9,0.0,15.6,2.0,4.0,0.0
BB11002,0.039910061832490164,13.741474151611328,14,4.0,2.0,0.0,0.9,0.0,15.6,2.0,4.0,0.0
BB11010,0.03583950136345929,57.200273275375366,14,4.0,2.0,0.0,0.9,0.0,15.6,2.0,4.0,0.0
BB11001,0.9213250517598344,1.7075424194335938,14,4.0,2.0,0.0,0.9,0.0,15.6,2.0,4.0,0.0
BB11004,0.3256271519921299,41.83880138397217,14,4.0,2.0,0.0,0.9,0.0,15.6,2.0,4.0,0.0
BB11003,0.2875,51.14591956138611,14,4.0,2.0,0.0,0.9,0.0,15.6,2.0,4.0,0.0
BB11008,0.005263157894736842,24.00654935836792,14,4.0,2.0,0.0,0.9,0.0,15.6,2.0,4.0,0.0
BB11009,0.3827392120075047,11.26798152923584,15,4.0,2.0,0.0,0.4,0.0,15.6,2.0,4.0,0.0
BB11002,0.09213483146067415,14.740037441253662,15,4.0,2.0,0.0,0.4,0.0,15.6,2.0,4.0,0.0
BB11010,0.12855473315153876,57.238648891448975,15,4.0,2.0,0.0,0.4,0.0,15.6,2.0,4.0,0.0
BB11001,0.9151138716356108,1.73294997215271,15,4.0,2.0,0.0,0.4,0.0,15.6,2.0,4.0,0.0
BB11004,0.35661583866207575,42.13530349731445,15,4.0,2.0,0.0,0.4,0.0,15.6,2.0,4.0,0.0
BB11003,0.29274193548387095,51.15701699256897,15,4.0,2.0,0.0,0.4,0.0,15.6,2.0,4.0,0.0
BB11008,0.0,24.108137607574463,15,4.0,2.0,0.0,0.4,0.0,15.6,2.0,4.0,0.0
BB11009,0.31894934333958724,11.343895196914673,16,4.0,2.0,0.0,1.1,0.0,15.6,2.0,4.0,0.0
BB11002,0.039910061832490164,13.830506086349487,16,4.0,2.0,0.0,1.1,0.0,15.6,2.0,4.0,0.0
BB11010,0.050642773665757694,57.590429067611694,16,4.0,2.0,0.0,1.1,0.0,15.6,2.0,4.0,0.0
BB11001,0.9213250517598344,1.7346069812774658,16,4.0,2.0,0.0,1.1,0.0,15.6,2.0,4.0,0.0
BB11004,0.3428430890309887,41.85102605819702,16,4.0,2.0,0.0,1.1,0.0,15.6,2.0,4.0,0.0
BB11003,0.2842741935483871,51.41150093078613,16,4.0,2.0,0.0,1.1,0.0,15.6,2.0,4.0,0.0
BB11008,0.028421052631578948,24.12570858001709,16,4.0,2.0,0.0,1.1,0.0,15.6,2.0,4.0,0.0
BB11009,0.31894934333958724,11.22725224494934,17,4.0,2.0,0.0,1.0,0.0,15.6,2.0,4.0,0.0
BB11002,0.03709949409780776,13.755969047546387,17,4.0,2.0,0.0,1.0,0.0,15.6,2.0,4.0,0.0
BB11010,0.04440981690689521,57.400919914245605,17,4.0,2.0,0.0,1.0,0.0,15.6,2.0,4.0,0.0
BB11001,0.9151138716356108,1.7256810665130615,17,4.0,2.0,0.0,1.0,0.0,15.6,2.0,4.0,0.0
BB11004,0.3462862764387605,41.78432321548462,17,4.0,2.0,0.0,1.0,0.0,15.6,2.0,4.0,0.0
BB11003,0.28588709677419355,51.41351819038391,17,4.0,2.0,0.0,1.0,0.0,15.6,2.0,4.0,0.0
BB11008,0.0,24.454430103302002,17,4.0,2.0,0.0,1.0,0.0,15.6,2.0,4.0,0.0
BB11009,0.34709193245778613,11.269706010818481,18,4.0,2.0,0.0,0.0,0.0,15.6,2.0,4.0,0.0
BB11002,0.10112359550561797,14.24439263343811,18,4.0,2.0,0.0,0.0,0.0,15.6,2.0,4.0,0.0
BB11010,0.10673938449552006,57.74327278137207,18,4.0,2.0,0.0,0.0,0.0,15.6,2.0,4.0,0.0
BB11001,0.9337474120082816,1.7160882949829102,18,4.0,2.0,0.0,0.0,0.0,15.6,2.0,4.0,0.0
BB11004,0.5009832841691249,42.26044487953186,18,4.0,2.0,0.0,0.0,0.0,15.6,2.0,4.0,0.0
BB11003,0.4012096774193548,51.855398416519165,18,4.0,2.0,0.0,0.0,0.0,15.6,2.0,4.0,0.0
BB11008,0.04842105263157895,22.116464376449585,18,4.0,2.0,0.0,0.0,0.0,15.6,2.0,4.0,0.0
