seqName,SPS,time,iter,helice_mixte,enf_propre,vrac_mixte,openGap,enf_mixte,helice_propre,extendGap,struct_mixte,vrac_propre
BB11001,0.762993762993763,1.7558467388153076,0,4.0,1.0,2.0,17.3,1.0,4.0,1.3,1.0,1.0
BB11001,0.6894409937888198,1.7347066402435303,1,4.0,1.0,2.0,17.2,1.0,4.0,3.6,1.0,1.0
BB11001,0.7692307692307693,1.7540786266326904,2,4.0,1.0,2.0,18.0,1.0,4.0,0.8,1.0,1.0
BB11001,0.6486486486486487,1.738663673400879,3,4.0,1.0,2.0,24.7,1.0,4.0,2.2,1.0,1.0
BB11001,0.6873706004140787,1.733165979385376,4,4.0,1.0,2.0,10.7,1.0,4.0,5.0,1.0,1.0
