seqName,SPS,time,iter,openGap,extendGap
BB11001,0.9337474120082816,1.3024632930755615,0,13.3,1.1
BB11001,0.7763975155279503,1.2934348583221436,1,24.8,4.2
BB11001,0.9337474120082816,1.2513034343719482,2,17.5,1.3
BB11001,0.9337474120082816,1.2894601821899414,3,17.6,1.3
BB11001,0.8041237113402062,1.307481288909912,4,12.3,3.7
