seqName,SPS,time,iter,enf_mixte,struct_mixte,vrac_mixte,helice_mixte,openGap,extendGap,enf_propre,vrac_propre,helice_propre
BB11010,0.15543435917413323,55.34321904182434,10,0.0,0.2,2.7,5.3,19.0,2.0,1.0,1.0,4.0
BB11001,0.6894409937888198,1.6183743476867676,11,0.0,0.8,1.0,5.0,19.0,2.0,1.0,1.0,4.0
BB11002,0.14430095451993263,15.020957231521606,11,0.0,0.8,1.0,5.0,19.0,2.0,1.0,1.0,4.0
BB11003,0.24909310761789602,48.89406394958496,11,0.0,0.8,1.0,5.0,19.0,2.0,1.0,1.0,4.0
BB11004,0.4469026548672566,39.74272346496582,11,0.0,0.8,1.0,5.0,19.0,2.0,1.0,1.0,4.0
BB11008,0.13789473684210526,19.558062076568604,11,0.0,0.8,1.0,5.0,19.0,2.0,1.0,1.0,4.0
BB11009,0.3714821763602251,10.650300979614258,11,0.0,0.8,1.0,5.0,19.0,2.0,1.0,1.0,4.0
BB11010,0.181145305804441,55.209895610809326,11,0.0,0.8,1.0,5.0,19.0,2.0,1.0,1.0,4.0
BB11001,0.760914760914761,1.650357723236084,12,0.0,1.8,2.5,4.7,19.0,2.0,1.0,1.0,4.0
BB11002,0.13667041619797526,14.05137825012207,12,0.0,1.8,2.5,4.7,19.0,2.0,1.0,1.0,4.0
BB11003,0.24465941152760984,49.15579271316528,12,0.0,1.8,2.5,4.7,19.0,2.0,1.0,1.0,4.0
BB11004,0.4296951819075713,40.27212858200073,12,0.0,1.8,2.5,4.7,19.0,2.0,1.0,1.0,4.0
BB11008,0.05157894736842105,20.099465131759644,12,0.0,1.8,2.5,4.7,19.0,2.0,1.0,1.0,4.0
BB11009,0.3545966228893058,10.637297630310059,12,0.0,1.8,2.5,4.7,19.0,2.0,1.0,1.0,4.0
BB11010,0.27347097779509155,55.610957622528076,12,0.0,1.8,2.5,4.7,19.0,2.0,1.0,1.0,4.0
BB11001,0.7401247401247402,1.6574079990386963,13,0.0,0.4,2.8,2.3,19.0,2.0,1.0,1.0,4.0
BB11002,0.1546681664791901,13.298348903656006,13,0.0,0.4,2.8,2.3,19.0,2.0,1.0,1.0,4.0
BB11003,0.2701612903225806,48.72464609146118,13,0.0,0.4,2.8,2.3,19.0,2.0,1.0,1.0,4.0
BB11004,0.3733398917855386,38.89847445487976,13,0.0,0.4,2.8,2.3,19.0,2.0,1.0,1.0,4.0
BB11008,0.0,22.582040071487427,13,0.0,0.4,2.8,2.3,19.0,2.0,1.0,1.0,4.0
