seqName,SPS,time,iter,extendGap,struct_propre,openGap,vrac_mixte,struct_mixte,enf_mixte,helice_propre,enf_propre,helice_mixte
BB11002,0.055025266704098824,15.000830173492432,36,2.9,0.7,14.3,0.0,0.0,0.0,2.1,0.0,0.0
BB11008,0.15578947368421053,20.672929286956787,37,2.9,0.8,14.3,0.0,0.0,0.0,1.4,0.0,0.0
BB11003,0.3919354838709677,51.127981185913086,37,2.9,0.8,14.3,0.0,0.0,0.0,1.4,0.0,0.0
BB11004,0.408062930186824,41.62040901184082,37,2.9,0.8,14.3,0.0,0.0,0.0,1.4,0.0,0.0
BB11010,0.03428126217374367,56.55958080291748,37,2.9,0.8,14.3,0.0,0.0,0.0,1.4,0.0,0.0
BB11009,0.0600375234521576,10.987990140914917,37,2.9,0.8,14.3,0.0,0.0,0.0,1.4,0.0,0.0
BB11002,0.0893760539629005,14.182436227798462,37,2.9,0.8,14.3,0.0,0.0,0.0,1.4,0.0,0.0
BB11008,0.0,21.746618270874023,38,2.9,2.3,14.3,0.0,0.0,0.0,1.7,0.0,0.0
BB11003,0.264006449012495,51.54199838638306,38,2.9,2.3,14.3,0.0,0.0,0.0,1.7,0.0,0.0
BB11004,0.19429414658140678,41.22160196304321,38,2.9,2.3,14.3,0.0,0.0,0.0,1.7,0.0,0.0
BB11010,0.019477989871445268,57.242356061935425,38,2.9,2.3,14.3,0.0,0.0,0.0,1.7,0.0,0.0
BB11009,0.20488721804511278,10.824136734008789,38,2.9,2.3,14.3,0.0,0.0,0.0,1.7,0.0,0.0
BB11002,0.0823463056965595,15.77113962173462,38,2.9,2.3,14.3,0.0,0.0,0.0,1.7,0.0,0.0
BB11008,0.0,21.80994200706482,39,2.9,2.6,14.3,0.0,0.0,0.0,1.7,0.0,0.0
BB11003,0.13685910375454177,51.00083804130554,39,2.9,2.6,14.3,0.0,0.0,0.0,1.7,0.0,0.0
BB11004,0.20708312838170193,41.90369153022766,39,2.9,2.6,14.3,0.0,0.0,0.0,1.7,0.0,0.0
BB11010,0.014413712504869497,57.60713577270508,39,2.9,2.6,14.3,0.0,0.0,0.0,1.7,0.0,0.0
BB11009,0.231203007518797,10.677302360534668,39,2.9,2.6,14.3,0.0,0.0,0.0,1.7,0.0,0.0
BB11002,0.0823463056965595,15.668940305709839,39,2.9,2.6,14.3,0.0,0.0,0.0,1.7,0.0,0.0
