seqName,SPS,time,iter,extendGap,struct_propre,openGap,vrac_mixte,struct_mixte,enf_mixte,helice_propre,enf_propre,helice_mixte
BB11003,0.425,53.40389680862427,3,2.9,2.0,14.3,0.0,0.0,0.0,1.9,0.0,0.0
BB11004,0.23315297589768816,42.62054228782654,3,2.9,2.0,14.3,0.0,0.0,0.0,1.9,0.0,0.0
BB11010,0.0218153486560187,59.36981272697449,3,2.9,2.0,14.3,0.0,0.0,0.0,1.9,0.0,0.0
BB11009,0.3302063789868668,11.034931421279907,3,2.9,2.0,14.3,0.0,0.0,0.0,1.9,0.0,0.0
BB11002,0.03653738055087127,16.138259649276733,3,2.9,2.0,14.3,0.0,0.0,0.0,1.9,0.0,0.0
BB11008,0.0,22.56670355796814,4,2.9,1.4,14.3,0.0,0.0,0.0,2.7,0.0,0.0
BB11003,0.2814516129032258,53.19216179847717,4,2.9,1.4,14.3,0.0,0.0,0.0,2.7,0.0,0.0
BB11004,0.1927236971484759,42.38910126686096,4,2.9,1.4,14.3,0.0,0.0,0.0,2.7,0.0,0.0
BB11010,0.025710946630307752,59.65519165992737,4,2.9,1.4,14.3,0.0,0.0,0.0,2.7,0.0,0.0
BB11009,0.3921200750469043,11.049304485321045,4,2.9,1.4,14.3,0.0,0.0,0.0,2.7,0.0,0.0
BB11002,0.06460674157303371,15.634635925292969,4,2.9,1.4,14.3,0.0,0.0,0.0,2.7,0.0,0.0
BB11008,0.0,22.566735982894897,5,2.9,1.9,14.3,0.0,0.0,0.0,1.5,0.0,0.0
BB11003,0.3528225806451613,52.988067865371704,5,2.9,1.9,14.3,0.0,0.0,0.0,1.5,0.0,0.0
BB11004,0.24003935071323168,42.60615873336792,5,2.9,1.9,14.3,0.0,0.0,0.0,1.5,0.0,0.0
BB11010,0.01012855473315154,59.78994178771973,5,2.9,1.9,14.3,0.0,0.0,0.0,1.5,0.0,0.0
BB11009,0.3395872420262664,11.104681730270386,5,2.9,1.9,14.3,0.0,0.0,0.0,1.5,0.0,0.0
BB11002,0.14510686164229472,15.530129432678223,5,2.9,1.9,14.3,0.0,0.0,0.0,1.5,0.0,0.0
BB11008,0.0,22.77069330215454,6,2.9,1.5,14.3,0.0,0.0,0.0,2.7,0.0,0.0
BB11003,0.275,53.39738941192627,6,2.9,1.5,14.3,0.0,0.0,0.0,2.7,0.0,0.0
BB11004,0.19380226266601083,42.47077465057373,6,2.9,1.5,14.3,0.0,0.0,0.0,2.7,0.0,0.0
BB11010,0.02103622906116089,60.00414252281189,6,2.9,1.5,14.3,0.0,0.0,0.0,2.7,0.0,0.0
BB11009,0.32645403377110693,11.092453479766846,6,2.9,1.5,14.3,0.0,0.0,0.0,2.7,0.0,0.0
BB11002,0.11943661971830986,15.589775323867798,6,2.9,1.5,14.3,0.0,0.0,0.0,2.7,0.0,0.0
BB11008,0.04842105263157895,22.506508350372314,7,2.9,0.0,14.3,0.0,0.0,0.0,2.9,0.0,0.0
BB11003,0.39919354838709675,53.857866048812866,7,2.9,0.0,14.3,0.0,0.0,0.0,2.9,0.0,0.0
BB11004,0.40658800393313665,43.564199447631836,7,2.9,0.0,14.3,0.0,0.0,0.0,2.9,0.0,0.0
BB11010,0.08998831320607713,60.100231647491455,7,2.9,0.0,14.3,0.0,0.0,0.0,2.9,0.0,0.0
BB11009,0.34709193245778613,11.496600151062012,7,2.9,0.0,14.3,0.0,0.0,0.0,2.9,0.0,0.0
